fetched_at,place_name,AREA_NM,AREA_CD,_key_used,BUS_RESULT_MSG,BUS_STN_ID,BUS_ARS_ID,BUS_STN_NM,BUS_STN_X,BUS_STN_Y
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000038,2135,시청.서소문청사,126.9749539314,37.5635248407
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000333,2136,광교,126.9828444051,37.5681069154
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000039,2137,서울신문사,126.9773647051,37.5683632936
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000040,2139,우리은행종로지점,126.9828658628,37.5678390393
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000041,2140,롯데백화점,126.9822069938,37.5645069796
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000042,2141,해운센터.롯데영플라자,126.9815478394,37.5628907847
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000043,2142,명동.롯데영플라자,126.982008,37.562885
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000334,2143,명동입구B,126.9823981134,37.5644247651
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000045,2144,신세계백화점,126.9814315438,37.561127344
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000046,2145,남대문시장.회현역,126.9777650546,37.5582675237
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000047,2146,남대문시장.회현역,126.9784645011,37.5584920257
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000051,2150,퇴계로2가.명동역5번출구,126.9843582953,37.5609325805
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000057,2156,을지로입구.로얄호텔,126.9853902774,37.5658757422
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000058,2157,을지로입구.시청입구,126.9811712097,37.5661382638
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000059,2158,을지로2가.기업은행본점.서울노동청,126.9865233528,37.566246226
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000060,2159,을지로2가.파인에비뉴,126.988670826,37.5660727123
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000114,2219,남대문시장앞.이회영활동터,126.978580386,37.5609394169
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000119,2224,청계1가.광교,126.9833922386,37.5685707852
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000335,2234,퇴계로2가.명동역7번출구,126.985336,37.560988
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000141,2246,을지로입구역.광교,126.9825656304,37.5676492567
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000338,2247,청계광장,126.978207,37.569011
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000148,2253,명동입구,126.982474445,37.5647227393
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000254,2278,한국은행앞,126.9792899798,37.561408112
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000264,2283,북창동.남대문시장,126.9769187336,37.5608462911
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101900011,2503,시청역,126.97701,37.566031
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101900006,2507,시청역1호선.서울시청,126.977339075,37.5673960903
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000173,2605,남대문시장,126.979397311,37.5614284556
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000277,2639,을지로입구역롯데호텔,126.9803053067,37.5658047183
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000298,2640,소공동웨스틴조선호텔,126.9796461336,37.5645178283
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000301,2641,서울광장,126.978885,37.565352
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000276,2649,서소문KAL빌딩,126.9743182567,37.5633387369
