fetched_at,place_name,AREA_NM,AREA_CD,_key_used,SUB_STN_NM,SUB_STN_LINE,SUB_STN_RADDR,SUB_STN_JIBUN,SUB_STN_X,SUB_STN_Y,SUB_FACIINFO,SUB_DETAIL
2026-06-12T00:22:23.638213+09:00,사당역,사당역,POI029,KEY_4,사당,2,서울특별시 동작구 남부순환로 지하2089(사당동),,126.981544,37.476538,,
2026-06-12T00:22:23.638213+09:00,사당역,사당역,POI029,KEY_4,사당,4,서울특별시 동작구  동작대로 지하3(사당동),,126.981651,37.476955,,
2026-06-12T00:22:23.638213+09:00,삼각지역,삼각지역,POI030,KEY_1,삼각지,6,서울특별시 용산구 한강대로 지하185(한강로1가),,126.974032,37.535534,,
2026-06-12T00:22:23.638213+09:00,삼각지역,삼각지역,POI030,KEY_1,삼각지,4,서울특별시 용산구 한강대로 지하180(한강로1가),,126.9726,37.534075,,
2026-06-12T00:22:23.638213+09:00,서울식물원·마곡나루역,서울식물원·마곡나루역,POI032,KEY_3,마곡나루,공항철도,서울특별시 강서구 마곡중앙로 지하 135,,126.827378,37.565543,,
2026-06-12T00:22:23.638213+09:00,서울식물원·마곡나루역,서울식물원·마곡나루역,POI032,KEY_3,마곡나루,9,서울특별시 강서구 마곡중앙5로 지하2,,126.82731,37.566778,,
2026-06-12T00:22:23.638213+09:00,서울역,서울역,POI033,KEY_4,서울,경의중앙,서울시 중구 한강대로 405,,126.97103,37.557231,,
2026-06-12T00:22:23.638213+09:00,서울역,서울역,POI033,KEY_4,서울,GTX-A,서울특별시 중구 서울역로 140 (서울역),,126.97296,37.55569,,
2026-06-12T00:22:23.638213+09:00,서울역,서울역,POI033,KEY_4,서울,1,서울특별시 중구 세종대로 지하2(남대문로 5가),,126.972135,37.556228,,
2026-06-12T00:22:23.638213+09:00,서울역,서울역,POI033,KEY_4,회현,4,서울특별시 중구 퇴계로 지하54(남창동),,126.978246,37.558514,,
2026-06-12T00:22:23.638213+09:00,서울역,서울역,POI033,KEY_4,서울,4,서울특별시 용산구 한강대로 지하392(동자동),,126.972556,37.55281,,
2026-06-12T00:22:23.638213+09:00,서울역,서울역,POI033,KEY_4,서울,공항철도,서울특별시 용산구 청파로 378,,126.969769,37.553247,,
2026-06-12T00:22:23.638213+09:00,선릉역,선릉역,POI034,KEY_1,선정릉,9,서울특별시 강남구 선릉로 580,,127.043999,37.510297,,
2026-06-12T00:22:23.638213+09:00,선릉역,선릉역,POI034,KEY_1,선릉,2,서울특별시 강남구 테헤란로 지하340(삼성동),,127.048203,37.504286,,
2026-06-12T00:22:23.638213+09:00,선릉역,선릉역,POI034,KEY_1,선정릉,수인분당,서울시 강남구 선릉로 지하 580(삼성동),,127.043677,37.510735,,
2026-06-12T00:22:23.638213+09:00,선릉역,선릉역,POI034,KEY_1,선릉,수인분당,서울시 강남구 테헤란로 지하 340,,127.048807,37.504856,,
2026-06-12T00:22:23.638213+09:00,성신여대입구역,성신여대입구역,POI035,KEY_2,성신여대입구,4,서울특별시 성북구 동소문로 지하102(동선동4가),,127.016441,37.592612,,
2026-06-12T00:22:23.638213+09:00,성신여대입구역,성신여대입구역,POI035,KEY_2,성신여대입구,우이신설선,서울특별시 성북구 동선동1가 116-1,,127.016516,37.592467,,
2026-06-12T00:22:23.638213+09:00,숭례문,숭례문,POI131,KEY_4,시청,1,서울특별시 중구 세종대로 지하101(정동),,126.977088,37.565715,,
